s,a,standard_t,secure_scan_t
1,1,0.00007245,0.2026701288
1,10,0.00007162,0.2060531706
1,100,0.00007649,0.1828453912
1,1000,0.00014587,0.1948332575
10,1,0.00005089,0.2025616876
10,10,0.00005997,0.2020209347
10,100,0.00008905,0.2059339776
10,1000,0.00028604,0.1991552425
100,1,0.00005894,0.2103960128
100,10,0.00006387,0.2074464883
100,100,0.00008362,0.203818121
100,1000,0.00029892,0.2005486688
1000,1,0.0000587,0.1908298283
1000,10,0.00006281,0.2068700805
1000,100,0.00008467,0.2094814735
1000,1000,0.00031492,0.1941028946
